loss_percent,latency_ms,jitter_ms,bandwidth_mbps,queue_packets,quic_n,quic_mean,quic_sd,quic_failed,minquic_n,minquic_mean,minquic_sd,minquic_failed,ratio
0,25,0,20,1000,5,9.115831722298362,0.005528154572047976,0,5,7.162191868700332,0.4454080779959028,0,0.7856871525152002
1,25,0,20,1000,5,2.1394931027935473,0.053484164345515506,0,5,5.966134952162177,0.45806227338802386,0,2.788574052597862
2,25,0,20,1000,5,1.4122011701124542,0.053388372734736754,0,5,4.215509922396773,0.32308474422609973,0,2.9850633263964017
5,25,0,20,1000,5,0.8535766672518887,0.017462167055210514,0,5,1.705961032940461,0.1843954086107089,0,1.9986031699212736
0,10,0,20,1000,5,9.162626950307239,0.003061026562323811,0,5,7.101022599894242,0.39229278043403054,0,0.7749985499143488
0,50,0,20,1000,5,8.941866024346442,0.00810139918836272,0,5,7.110743667689852,0.46310763900020024,0,0.795219213565613
0,100,0,20,1000,5,3.7082363731476335,0.002072616467647829,0,5,5.029341415272498,0.27132292342935727,0,1.3562623601050223
0,25,5,20,1000,5,9.072792754442466,0.026422157537954717,0,5,1.4830422597968753,1.260937127468406,0,0.16346039195822126
0,25,10,20,1000,5,8.822481378386312,0.20677478775212238,0,5,0.7352087057206763,0.08054756840716557,0,0.0833335514339335
0,25,20,20,1000,5,7.1936588151286465,0.8847945478881681,0,5,0.4586945710917764,0.02097010980989057,0,0.06376373732475571
0,25,0,20,50,5,4.644845167472755,0.16001484813202774,0,5,4.320192122094821,0.27414222723472637,0,0.9301046571688898
